iso,name
ab,abhază
af,afrikaans
ain,ainu
akk,akkadiană
sq,albaneză
ale,aleută
alt,"altaică meridională"
am,amharică
ar,arabă
an,aragoneză
arc,aramaică
sam,"aramaică samariteană"
hy,armeană
rup,aromână
as,asameză
ast,asturiană
map,austroneziană
av,avară
ay,aymara
az,azeră
bnt,bantu
eu,bască
ba,bașkiră
bn,bengaleză
ber,berberă
be,bielorusă
bh,bihari
my,birmaneză
bs,bosniacă
br,bretonă
bg,bulgară
xal,calmucă
ca,catalană
ks,cașmireză
ce,cecenă
cs,cehă
zh,chineză
zh_Hans,"chineză simplificată"
zh_Hant,"chineză tradițională"
cv,ciuvașă
kg,congoleză
cop,coptă
ko,coreeană
co,corsicană
hr,croată
da,daneză
he,ebraică
egy,"egipteană veche"
elx,elamită
en,engleză
en_US,"engleză americană"
en_AU,"engleză australiană"
en_GB,"engleză britanică"
en_CA,"engleză canadiană"
ang,"engleză veche"
eo,esperanto
et,estoniană
fo,faroeză
zxx,"fară conținut lingvistic"
phn,feniciană
fj,fijiană
fil,filipineză
fi,finlandeză
nl_BE,flamandă
fr,franceză
fr_CA,"franceză canadiană"
fr_CH,"franceză elvețiană"
fro,"franceză veche"
fy,"frizonă occidentală"
frs,"frizonă orientală"
gd,"gaelică scoțiană"
gl,galiciană
ka,georgiană
de,germană
de_AT,"germană austriacă"
gsw,"germană elvețiană"
de_CH,"germană standard elvețiană"
got,gotică
el,greacă
grc,"greacă veche"
gn,guarani
gu,gujarati
ht,haitiană
haw,hawaiană
hi,hindi
hit,hitită
yi,idiș
id,indoneziană
ia,interlingua
ie,interlingue
ik,inupiak
ga,irlandeză
sga,"irlandeză veche"
is,islandeză
it,italiană
jrb,iudeo-arabă
jpr,iudeo-persană
ja,japoneză
jv,javaneză
kl,kalaallisut
kn,kannada
kk,kazahă
km,khmeră
tlh,klingoniană
ku,kurdă
ky,kîrgîză
lo,laoțiană
la,latină
lv,letonă
sgn,"limbaj mimico-gestual"
mis,"limbi diverse"
mul,"limbi multiple"
afa,"limbă afro-asiatică"
tut,"limbă altaică"
apa,"limbă apașă"
art,"limbă artificială"
aus,"limbă australiană"
bat,"limbă baltică"
cau,"limbă caucaziană"
cel,"limbă celtică"
cai,"limbă central-amerindiană"
dra,"limbă dravidiană"
phi,"limbă filipineză"
fiu,"limbă fino-ugrică"
gem,"limbă germanică"
inc,"limbă indiană"
ine,"limbă indo-europeană"
ira,"limbă iraniană"
myn,"limbă mayașă"
mun,"limbă munda"
und,"limbă necunoscută sau nevalidă"
nai,"limbă nord-amerindiană"
nub,"limbă nubiană"
oto,"limbă otomi"
paa,"limbă papuașă"
roa,"limbă romanică"
sem,"limbă semitică"
sit,"limbă sino-tibetană"
sla,"limbă slavă"
sai,"limbă sud-amerindiană"
tai,"limbă thai"
ln,lingala
lt,lituaniană
lb,luxemburgheză
mk,macedoneană
hu,maghiară
ms,malay
ml,malayalam
mg,malgașă
mt,malteză
mnc,manciuriană
mi,maori
mr,marathi
mwl,mirandeză
mo,moldovenească
mn,mongolă
nap,napolitană
nv,navajo
ne,nepaleză
no,norvegiană
nn,"norvegiană nynorsk"
oc,occitană
nl,olandeză
or,oriya
om,oromo
pi,pali
ps,pașto
fa,persană
peo,"persană veche"
pl,poloneză
pt,portugheză
pt_BR,"portugheză braziliană"
pt_PT,"portugheză iberică"
pro,"provensală veche"
pa,punjabi
qu,quechua
rm,retoromană
ro,română
ru,rusă
sm,samoană
sa,sanscrită
sc,sardiniană
sco,scots
st,sesotho
tn,setswana
scn,siciliană
sd,sindhi
si,singaleză
syr,siriacă
cu,slavonă
sk,slovacă
sl,slovenă
so,somaleză
es,spaniolă
es_ES,"spaniolă iberică"
es_419,"spaniolă latino-americană"
sv,suedeză
sux,sumeriană
su,sundaneză
sw,swahili
sh,sârbo-croată
sr,sârbă
tg,tadjică
tl,tagalog
ty,tahitiană
ta,tamilă
te,telugu
th,thailandeză
bo,tibetană
ti,tigrinya
tr,turcă
ota,"turcă otomană"
tk,turkmenă
tw,twi
tt,tătară
uk,ucraineană
ug,uigură
ur,urdu
uz,uzbecă
wa,valonă
cy,velșă
vi,vietnameză
vo,volapuk
wo,wolof
xh,xhosa
yo,yoruba
zap,zapotecă
zu,zulu
